source.message,dataset,timestamp,$workers.truncated,$workers.event.request.url,$workers.event.request.method,$workers.event.request.path,$workers.event.request.search.batch,$workers.event.request.search.size,$workers.event.request.search.chatId,$workers.outcome,$workers.scriptName,$workers.eventType,$workers.executionModel,$workers.scriptVersion.id,$workers.requestId,$metadata.id,$metadata.requestId,$metadata.trigger,$metadata.service,$metadata.message,$metadata.account,$metadata.type,$metadata.fingerprint,$metadata.origin,$metadata.messageTemplate,$metadata.startTime,$metadata.endTime,$metadata.now,links
[33m[2026-01-26T14:44:42.958] [INFO] - [Connecting to 91.108.56.185:443/TCPFull...][0m,cloudflare-workers,2026-01-26T14:44:42.958Z,false,https://telegram-processor.iflove29.workers.dev/process-media?batch=true&size=5&chatId=-1002312202692,POST,/process-media,true,5,-1002312202692,canceled,telegram-processor,fetch,stateless,07d11db6-78b1-4989-a26b-5d72f2d4ef0b,9c40c9362fbde359,01KFXC7G24CWSYHW5D8Z6JJSK5,9c40c9362fbde359,POST /process-media,telegram-processor,[33m[2026-01-26T14:44:42.958] [INFO] - [Connecting to 91.108.56.185:443/TCPFull...][0m,203c9046dbec2f39202104306918550f,cf-worker,7fce9afb66a6319e3f32e392a8b02a1a,fetch,[33m[<*>.<*>] [INFO] - [<*> <*> <IP4>:443/TCPFull...][0m,undefined,undefined,undefined,[]
"[33m[2026-01-26T14:44:42.777] [INFO] - [Starting direct file download in chunks of 131072 at 0, stride 131072][0m",cloudflare-workers,2026-01-26T14:44:42.777Z,false,https://telegram-processor.iflove29.workers.dev/process-media?batch=true&size=5&chatId=-1002312202692,POST,/process-media,true,5,-1002312202692,canceled,telegram-processor,fetch,stateless,07d11db6-78b1-4989-a26b-5d72f2d4ef0b,9c40c9362fbde359,01KFXC7G24CWSYHW5D8Z6JJSK4,9c40c9362fbde359,POST /process-media,telegram-processor,"[33m[2026-01-26T14:44:42.777] [INFO] - [Starting direct file download in chunks of 131072 at 0, stride 131072][0m",203c9046dbec2f39202104306918550f,cf-worker,7fce9afb66a6319e3f32e392a8b02a1a,fetch,"[33m[<*>.<*>] [INFO] - [Starting direct file download in chunks of 131072 at 0, stride 131072][0m",undefined,undefined,undefined,[]
"[Processor] Photo size check passed (89418 bytes <= 20MB), proceeding with download",cloudflare-workers,2026-01-26T14:44:42.777Z,false,https://telegram-processor.iflove29.workers.dev/process-media?batch=true&size=5&chatId=-1002312202692,POST,/process-media,true,5,-1002312202692,canceled,telegram-processor,fetch,stateless,07d11db6-78b1-4989-a26b-5d72f2d4ef0b,9c40c9362fbde359,01KFXC7G24CWSYHW5D8Z6JJSK3,9c40c9362fbde359,POST /process-media,telegram-processor,"[Processor] Photo size check passed (89418 bytes <= 20MB), proceeding with download",203c9046dbec2f39202104306918550f,cf-worker,7fce9afb66a6319e3f32e392a8b02a1a,fetch,"[Processor] Photo size check passed (<*> bytes <= 20MB), proceeding with download",undefined,undefined,undefined,[]
[Processor] Photo max size: 0.09MB,cloudflare-workers,2026-01-26T14:44:42.777Z,false,https://telegram-processor.iflove29.workers.dev/process-media?batch=true&size=5&chatId=-1002312202692,POST,/process-media,true,5,-1002312202692,canceled,telegram-processor,fetch,stateless,07d11db6-78b1-4989-a26b-5d72f2d4ef0b,9c40c9362fbde359,01KFXC7G24CWSYHW5D8Z6JJSK2,9c40c9362fbde359,POST /process-media,telegram-processor,[Processor] Photo max size: 0.09MB,203c9046dbec2f39202104306918550f,cf-worker,7fce9afb66a6319e3f32e392a8b02a1a,fetch,[Processor] Photo max size: 0.<*>,undefined,undefined,undefined,[]
"[Processor] Downloading media for message 2146, type: MessageMediaPhoto",cloudflare-workers,2026-01-26T14:44:42.777Z,false,https://telegram-processor.iflove29.workers.dev/process-media?batch=true&size=5&chatId=-1002312202692,POST,/process-media,true,5,-1002312202692,canceled,telegram-processor,fetch,stateless,07d11db6-78b1-4989-a26b-5d72f2d4ef0b,9c40c9362fbde359,01KFXC7G24CWSYHW5D8Z6JJSK1,9c40c9362fbde359,POST /process-media,telegram-processor,"[Processor] Downloading media for message 2146, type: MessageMediaPhoto",203c9046dbec2f39202104306918550f,cf-worker,7fce9afb66a6319e3f32e392a8b02a1a,fetch,[Processor] Downloading media for message <*> type: <*>,undefined,undefined,undefined,[]
[Processor] Fetching message ID: 2146 -> 2146,cloudflare-workers,2026-01-26T14:44:42.599Z,false,https://telegram-processor.iflove29.workers.dev/process-media?batch=true&size=5&chatId=-1002312202692,POST,/process-media,true,5,-1002312202692,canceled,telegram-processor,fetch,stateless,07d11db6-78b1-4989-a26b-5d72f2d4ef0b,9c40c9362fbde359,01KFXC7G24CWSYHW5D8Z6JJSK0,9c40c9362fbde359,POST /process-media,telegram-processor,[Processor] Fetching message ID: 2146 -> 2146,203c9046dbec2f39202104306918550f,cf-worker,7fce9afb66a6319e3f32e392a8b02a1a,fetch,[Processor] Fetching message ID: <*> -> <*>,undefined,undefined,undefined,[]
[Processor] Successfully resolved channel entity,cloudflare-workers,2026-01-26T14:44:42.599Z,false,https://telegram-processor.iflove29.workers.dev/process-media?batch=true&size=5&chatId=-1002312202692,POST,/process-media,true,5,-1002312202692,canceled,telegram-processor,fetch,stateless,07d11db6-78b1-4989-a26b-5d72f2d4ef0b,9c40c9362fbde359,01KFXC7G24CWSYHW5D8Z6JJSJZ,9c40c9362fbde359,POST /process-media,telegram-processor,[Processor] Successfully resolved channel entity,203c9046dbec2f39202104306918550f,cf-worker,7fce9afb66a6319e3f32e392a8b02a1a,fetch,[Processor] Successfully resolved channel entity,undefined,undefined,undefined,[]
[Processor] Resolving channel entity for chat_id: -1002312202692 -> -1002312202692,cloudflare-workers,2026-01-26T14:44:42.253Z,false,https://telegram-processor.iflove29.workers.dev/process-media?batch=true&size=5&chatId=-1002312202692,POST,/process-media,true,5,-1002312202692,canceled,telegram-processor,fetch,stateless,07d11db6-78b1-4989-a26b-5d72f2d4ef0b,9c40c9362fbde359,01KFXC7G24CWSYHW5D8Z6JJSJY,9c40c9362fbde359,POST /process-media,telegram-processor,[Processor] Resolving channel entity for chat_id: -1002312202692 -> -1002312202692,203c9046dbec2f39202104306918550f,cf-worker,7fce9afb66a6319e3f32e392a8b02a1a,fetch,[Processor] Resolving channel entity for chat_id: -1002312202692 -> -1002312202692,undefined,undefined,undefined,[]
[Processor] Connection verified - User: 多加香菜,cloudflare-workers,2026-01-26T14:44:42.253Z,false,https://telegram-processor.iflove29.workers.dev/process-media?batch=true&size=5&chatId=-1002312202692,POST,/process-media,true,5,-1002312202692,canceled,telegram-processor,fetch,stateless,07d11db6-78b1-4989-a26b-5d72f2d4ef0b,9c40c9362fbde359,01KFXC7G24CWSYHW5D8Z6JJSJX,9c40c9362fbde359,POST /process-media,telegram-processor,[Processor] Connection verified - User: 多加香菜,203c9046dbec2f39202104306918550f,cf-worker,7fce9afb66a6319e3f32e392a8b02a1a,fetch,[Processor] Connection verified - User: 多加香菜,undefined,undefined,undefined,[]
[Processor] Telegram client connected successfully (attempt 1),cloudflare-workers,2026-01-26T14:44:42.077Z,false,https://telegram-processor.iflove29.workers.dev/process-media?batch=true&size=5&chatId=-1002312202692,POST,/process-media,true,5,-1002312202692,canceled,telegram-processor,fetch,stateless,07d11db6-78b1-4989-a26b-5d72f2d4ef0b,9c40c9362fbde359,01KFXC7G24CWSYHW5D8Z6JJSJW,9c40c9362fbde359,POST /process-media,telegram-processor,[Processor] Telegram client connected successfully (attempt 1),203c9046dbec2f39202104306918550f,cf-worker,7fce9afb66a6319e3f32e392a8b02a1a,fetch,[Processor] Telegram client connected successfully (attempt 1),undefined,undefined,undefined,[]
[33m[2026-01-26T14:44:41.716] [INFO] - [Using LAYER 198 for initial connect][0m,cloudflare-workers,2026-01-26T14:44:41.716Z,false,https://telegram-processor.iflove29.workers.dev/process-media?batch=true&size=5&chatId=-1002312202692,POST,/process-media,true,5,-1002312202692,canceled,telegram-processor,fetch,stateless,07d11db6-78b1-4989-a26b-5d72f2d4ef0b,9c40c9362fbde359,01KFXC7G24CWSYHW5D8Z6JJSJV,9c40c9362fbde359,POST /process-media,telegram-processor,[33m[2026-01-26T14:44:41.716] [INFO] - [Using LAYER 198 for initial connect][0m,203c9046dbec2f39202104306918550f,cf-worker,7fce9afb66a6319e3f32e392a8b02a1a,fetch,[33m[<*>.<*>] [INFO] - [<*> <*> <*> <*> <*> <*>][0m,undefined,undefined,undefined,[]
[33m[2026-01-26T14:44:41.716] [INFO] - [Connection to 149.154.175.52:80/TCPFull complete!][0m,cloudflare-workers,2026-01-26T14:44:41.716Z,false,https://telegram-processor.iflove29.workers.dev/process-media?batch=true&size=5&chatId=-1002312202692,POST,/process-media,true,5,-1002312202692,canceled,telegram-processor,fetch,stateless,07d11db6-78b1-4989-a26b-5d72f2d4ef0b,9c40c9362fbde359,01KFXC7G24CWSYHW5D8Z6JJSJT,9c40c9362fbde359,POST /process-media,telegram-processor,[33m[2026-01-26T14:44:41.716] [INFO] - [Connection to 149.154.175.52:80/TCPFull complete!][0m,203c9046dbec2f39202104306918550f,cf-worker,7fce9afb66a6319e3f32e392a8b02a1a,fetch,[33m[<*>.<*>] [INFO] - [Connection to <IP4>:80/TCPFull complete!][0m,undefined,undefined,undefined,[]
